store name, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/255410/the-woods-reserve-moonshine-cookies?recommended=false&fromMenu=true"">Moonshine Cookies</a><br><a href=""https://www.leafly.com/search?q=Moonshine Cookies"">Leafly</a>",<class 'filter'>,The Woods Reserve,Flower,$29.25,3.5g,19.45%,680.75mg,0.043/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/713712/g-leaf-wilson-2?recommended=false&fromMenu=true"">Wilson! #2</a><br><a href=""https://www.leafly.com/search?q=Wilson! #2"">Leafly</a>",<class 'filter'>,gLeaf,Flower,$55.00,3.5g,21.31%,745.85mg,0.074/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/1105580/classix-sunny-diesel?recommended=false&fromMenu=true"">Sunny Diesel</a><br><a href=""https://www.leafly.com/search?q=Sunny Diesel"">Leafly</a>",<class 'filter'>,Classix,Flower,$40.00,3.5g,22.03%,771.05mg,0.052/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/39401/cresco-og-18?recommended=false&fromMenu=true"">OG #18</a><br><a href=""https://www.leafly.com/search?q=OG #18"">Leafly</a>",<class 'filter'>,Cresco,Premium Flower,$55.00,3.5g,21.40%,749.00mg,0.073/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/742135/good-green-jet-fuel?recommended=false&fromMenu=true"">Jet Fuel</a><br><a href=""https://www.leafly.com/search?q=Jet Fuel"">Leafly</a>",<class 'filter'>,Good Green,Smalls,$85.00,7.0g,23.47%,1642.90mg,0.052/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/809323/tyson-2-0-intergalactic-toad?recommended=false&fromMenu=true"">Intergalactic Toad</a><br><a href=""https://www.leafly.com/search?q=Intergalactic Toad"">Leafly</a>",<class 'filter'>,TYSON 2.0,Flower,$58.02,3.5g,23.06%,807.10mg,0.072/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/134415/moxie-grape-valley-kush?recommended=false&fromMenu=true"">Grape Valley Kush</a><br><a href=""https://www.leafly.com/search?q=Grape Valley Kush"">Leafly</a>",<class 'filter'>,Moxie,Flower,$55.00,3.5g,27.10%,948.50mg,0.058/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/382889/insa-kush-mints?recommended=false&fromMenu=true"">Kush Mints</a><br><a href=""https://www.leafly.com/search?q=Kush Mints"">Leafly</a>",<class 'filter'>,INSA,Growers Select,$60.00,3.5g,29.24%,1023.40mg,0.059/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3850/products/918612/cresco-banana-og?recommended=false&fromMenu=true"">Banana OG</a><br><a href=""https://www.leafly.com/search?q=Banana OG"">Leafly</a>",<class 'filter'>,Cresco,Premium Flower,$55.00,3.5g,22.55%,789.25mg,0.070/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/236742/farmaceutical-rx-underdawg?recommended=false&fromMenu=true"">Underdawg</a><br><a href=""https://www.leafly.com/search?q=Underdawg"">Leafly</a>",<class 'filter'>,FarmaceuticalRx,Flower,$65.00,3.5g,22.56%,789.60mg,0.082/mg
