store location, store zip, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
Butler,16001,Jimi's Punch ,Sativa,CRESCO,Flower,$45.01,3.5g,25.35%,887.25mg,0.051/mg
Butler,16001,Citrus Zest Mini ,Hybrid,MOXIE,Flower,$45.01,3.5g,22.99%,804.65mg,0.056/mg
Phoenixville,19460,Jimi's Punch ,Sativa,CRESCO,Flower,$45.01,3.5g,25.35%,887.25mg,0.051/mg
Philadelphia - Chestnut St,17301,Jet Fuel  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,26.38%,1846.60mg,0.046/mg
Ambler,19002,Burnt Toast #4  ,Hybrid,GOOD GREEN,Small,$84.98,7.0g,23.32%,1632.40mg,0.052/mg
Butler,16001,Dynamite Cookies ,Sativa,TYSON 2.0,Flower,$58.00,3.5g,26.70%,934.50mg,0.062/mg
New Kensington,18833,OG 18  ,Indica,SUPPLY,Small,$80.01,7.0g,19.01%,1330.70mg,0.060/mg
Phoenixville,19460,Lemon Grenades ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,21.85%,764.75mg,0.063/mg
Pittsburgh,15112,Bubba Diagonal ,Indica,GRASSROOTS,Flower,$47.98,3.5g,19.30%,675.50mg,0.071/mg
New Kensington,18833,Golden Goat  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,24.19%,1693.30mg,0.050/mg
Montgomeryville,18936,Sunny Diesel ,Hybrid,CLASSIX,Flower,$40.00,3.5g,22.03%,771.05mg,0.052/mg
New Kensington,18833,Lime Bars  ,Indica,SUPPLY,Small,$80.01,7.0g,22.41%,1568.70mg,0.051/mg
Lancaster,17601,Gelato #33 I95 ,Hybrid,CRESCO,Flower,$30.00,3.5g,22.80%,798.00mg,0.038/mg
Philadelphia - Chestnut St,17301,L'Orange  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,24.20%,1694.00mg,0.050/mg
Philadelphia - Chestnut St,17301,WC Watermelon Z ,Indica,CRESCO,Flower,$45.01,3.5g,25.02%,875.70mg,0.051/mg
Lancaster,17601,Super Silver Haze ,Sativa,OLD PAL,Flower,$59.99,7.0g,21.35%,1494.50mg,0.040/mg
New Kensington,18833,Ice Cream Cake ,Indica,VERANO ESSENCE,Flower,$50.02,3.5g,20.57%,719.95mg,0.069/mg
Phoenixville,19460,Sunset Shortcake  ,Hybrid,GRASSROOTS,Small,$74.97,7.0g,21.25%,1487.50mg,0.050/mg
Montgomeryville,18936,Cool Grapes #66 Premium ,Hybrid,GRASSROOTS,Flower,$69.94,7.0g,20.07%,1404.90mg,0.050/mg
Ambler,19002,Kosher Tangie  ,Hybrid,SUPPLY,Small,$60.00,7.0g,17.58%,1230.60mg,0.049/mg
Montgomeryville,18936,WC Watermelon Z ,Indica,CRESCO,Flower,$45.01,3.5g,25.02%,875.70mg,0.051/mg
Philadelphia - Chestnut St,17301,Wharf Rat ,Hybrid,CLASSIX,Flower,$40.00,3.5g,24.51%,857.85mg,0.047/mg
Ambler,19002,Bubblegum XL  ,Sativa,SECHE,Flower,$54.95,7.0g,20.37%,1425.90mg,0.039/mg
Lancaster,17601,Banana Punch ,Indica,AVENUE,Flower,$44.98,3.5g,22.64%,792.40mg,0.057/mg
New Kensington,18833,Banana OG ,Indica,CRESCO,Flower,$30.00,3.5g,20.42%,714.70mg,0.042/mg
New Kensington,18833,Tina  ,Indica,SUPPLY,Small,$80.01,7.0g,23.38%,1636.60mg,0.049/mg
Pittsburgh,15112,Blueberry Muffin Little Buds ,Indica,FLOAT,Flower,$44.98,3.5g,17.04%,596.40mg,0.075/mg
Phoenixville,19460,Petrol Pine  ,Indica,SUPPLY,Small,$60.00,7.0g,21.76%,1523.20mg,0.039/mg
Ambler,19002,Lime Sorbet  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,15.33%,1073.10mg,0.037/mg
Pittsburgh,15112,Glazed Enigma  ,Sativa,SUPPLY,Small,$80.01,7.0g,20.17%,1411.90mg,0.057/mg
New Kensington,18833,Norton x TW ,Hybrid,AGRI-KIND,Flower,$45.01,3.5g,20.55%,719.25mg,0.063/mg
Butler,16001,Gelato #33 I95 ,Hybrid,CRESCO,Flower,$30.00,3.5g,20.89%,731.15mg,0.041/mg
Phoenixville,19460,Glazed Enigma ,Sativa,CRESCO,Flower,$30.00,3.5g,22.25%,778.75mg,0.039/mg
Ambler,19002,Citrus Daydream ,Sativa,CRESCO,Flower,$30.00,3.5g,22.97%,803.95mg,0.037/mg
Philadelphia - Chestnut St,17301,4 Locoz ,Indica,INSA,Flower,$39.97,3.5g,21.44%,750.40mg,0.053/mg
Butler,16001,MacDaddy ,Sativa,CRESCO,Flower,$45.01,3.5g,27.90%,976.50mg,0.046/mg
Phoenixville,19460,Lime Bars ,Indica,CRESCO,Flower,$45.01,3.5g,22.68%,793.80mg,0.057/mg
Phoenixville,19460,Purple Passion ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.03%,771.05mg,0.058/mg
Ambler,19002,Gluelato Float ,Hybrid,FLOAT,Flower,$50.02,3.5g,25.09%,878.15mg,0.057/mg
Ambler,19002,UK Cheese ,Sativa,FRX,Flower,$54.98,3.5g,15.55%,544.25mg,0.101/mg
Pittsburgh,15112,Lime Sorbet  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,13.07%,914.90mg,0.044/mg
New Kensington,18833,Director's Cut  ,Hybrid,SUPPLY,Small,$80.01,7.0g,25.39%,1777.30mg,0.045/mg
Butler,16001,Candy Rain ,Indica,VERANO ESSENCE,Flower,$90.02,7.0g,18.09%,1266.30mg,0.071/mg
Pittsburgh,15112,Banana Macaroon ,Hybrid,CRESCO,Flower,$45.01,3.5g,24.54%,858.90mg,0.052/mg
Phoenixville,19460,Glazed Enigma  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,12.87%,900.90mg,0.044/mg
Lancaster,17601,Hybrid Blend  ,Hybrid,FLOAT,Ground Flower,$24.99,3.5g,22.82%,798.70mg,0.031/mg
Lancaster,17601,Outer Space ,Sativa,CRESCO,Flower,$45.01,3.5g,22.12%,774.20mg,0.058/mg
Pittsburgh,15112,Apple Pie ,Sativa,MODERN FLOWER,Flower,$44.98,3.5g,14.71%,514.85mg,0.087/mg
Philadelphia - Chestnut St,17301,Sunny Diesel ,Hybrid,CLASSIX,Flower,$70.00,7.0g,21.32%,1492.40mg,0.047/mg
New Kensington,18833,Glazed Enigma ,Sativa,CRESCO,Flower,$30.00,3.5g,22.25%,778.75mg,0.039/mg
Pittsburgh,15112,Memory Loss Premium ,Hybrid,GRASSROOTS,Flower,$74.98,7.0g,18.98%,1328.60mg,0.056/mg
Butler,16001,Pecan Sandies ,Hybrid,MODERN FLOWER,Flower,$44.98,3.5g,21.26%,744.10mg,0.060/mg
Ambler,19002,Morning Dew  Bud,Hybrid,GLEAF,Small,$15.00,1.0g,23.10%,231.00mg,0.065/mg
New Kensington,18833,Sweet Cheese ,Sativa,AGRI-KIND,Flower,$45.01,3.5g,22.94%,802.90mg,0.056/mg
Philadelphia - Chestnut St,17301,Golden Goose  ,Indica,SUPPLY,Small,$80.01,7.0g,18.61%,1302.70mg,0.061/mg
Philadelphia - Chestnut St,17301,Prez Kush ,Indica,INSA,Flower,$39.97,3.5g,23.14%,809.90mg,0.049/mg
Butler,16001,Honey Badger Haze ,Hybrid,MODERN FLOWER,Flower,$44.98,3.5g,20.35%,712.25mg,0.063/mg
Pittsburgh,15112,Sugar Plum Sunset  ,Indica,SUPPLY,Small,$80.01,7.0g,20.94%,1465.80mg,0.055/mg
Butler,16001,Arch Angel ,Hybrid,FRX,Flower,$54.98,3.5g,19.13%,669.55mg,0.082/mg
Montgomeryville,18936,Critical Purple Kush  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,14.94%,1045.80mg,0.038/mg
Pittsburgh,15112,Tahoe OG Mini ,Hybrid,FRX,Flower,$49.98,3.5g,25.52%,893.20mg,0.056/mg
Philadelphia - Chestnut St,17301,Ice Cream Cake  ,Indica,GOOD GREEN,Small,$84.98,7.0g,20.21%,1414.70mg,0.060/mg
Philadelphia - Chestnut St,17301,Juice Box Float ,Hybrid,FLOAT,Flower,$50.02,3.5g,27.29%,955.15mg,0.052/mg
Pittsburgh,15112,Tina ,Indica,CRESCO,Flower,$45.01,3.5g,26.61%,931.35mg,0.048/mg
Philadelphia - Chestnut St,17301,Garlic Storm  Bud,Hybrid,GLEAF,Small,$15.00,1.0g,23.72%,237.20mg,0.063/mg
Lancaster,17601,Yellow Brick Road ,Hybrid,AVENUE,Flower,$44.98,3.5g,23.54%,823.90mg,0.055/mg
Phoenixville,19460,Thai 99 Shake,Sativa,TERRAPIN,Flower,$45.01,7.0g,16.78%,1174.60mg,0.038/mg
Montgomeryville,18936,Cold as Ice ,Sativa,CRESCO,Flower,$45.01,3.5g,29.78%,1042.30mg,0.043/mg
Butler,16001,Outer Space ,Sativa,CRESCO,Flower,$45.01,3.5g,22.12%,774.20mg,0.058/mg
New Kensington,18833,Gelato 41 x Bwizz ,Hybrid,INSA,Flower,$39.97,3.5g,21.28%,744.80mg,0.054/mg
Pittsburgh,15112,Banana OG  ,Indica,SUPPLY,Small,$80.01,7.0g,18.16%,1271.20mg,0.063/mg
Ambler,19002,Jet Fuel  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,23.78%,1664.60mg,0.051/mg
Philadelphia - Chestnut St,17301,Banana Macaroon  ,Hybrid,SUPPLY,Small,$80.01,7.0g,22.83%,1598.10mg,0.050/mg
Pittsburgh,15112,Jokerz Candy Float ,Sativa,FLOAT,Flower,$49.98,3.5g,22.24%,778.40mg,0.064/mg
New Kensington,18833,Golden Goose ,Indica,CRESCO,Flower,$45.01,3.5g,21.12%,739.20mg,0.061/mg
Phoenixville,19460,Slymer ,Hybrid,MOXIE,Flower,$54.98,3.5g,23.09%,808.15mg,0.068/mg
Phoenixville,19460,Kosher Tangie ,Hybrid,CRESCO,Flower,$30.00,3.5g,23.27%,814.45mg,0.037/mg
New Kensington,18833,Legend of 91 #9 ,Indica,PRIME,Flower,$49.98,3.5g,23.99%,839.65mg,0.060/mg
Montgomeryville,18936,White Hot Guava ,Indica,CURALEAF,Flower,$47.98,3.5g,27.22%,952.70mg,0.050/mg
Pittsburgh,15112,Extreme Cream ,Indica,RYTHM,Flower,$54.98,3.5g,20.31%,710.85mg,0.077/mg
Pittsburgh,15112,Mother's st  ,Sativa,SECHE,Flower,$54.95,7.0g,19.76%,1383.20mg,0.040/mg
Phoenixville,19460,Oregon Silver Haze ,Sativa,CRESCO,Flower,$45.01,3.5g,21.67%,758.45mg,0.059/mg
