store location, store zip, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
Philadelphia - Chestnut St,17301,GG #4 ,Indica,FRX,Flower,$17.00,1.0g,20.38%,203.80mg,0.083/mg
New Kensington,18833,Tahoe OG Mini ,Hybrid,FRX,Flower,$49.98,3.5g,25.52%,893.20mg,0.056/mg
Pittsburgh,15112,White Hot Guava ,Indica,CURALEAF,Flower,$47.98,3.5g,27.30%,955.50mg,0.050/mg
Montgomeryville,18936,Banana OG  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,17.18%,1202.60mg,0.033/mg
Pittsburgh,15112,Bubble Bath  Bud,Hybrid,GLEAF,Small,$15.00,1.0g,19.00%,190.00mg,0.079/mg
Montgomeryville,18936,Morning Dew  Bud,Hybrid,GLEAF,Small,$15.00,1.0g,23.10%,231.00mg,0.065/mg
Butler,16001,Classic Bubble Bath #16 ,Hybrid,LOST IN TRANSLATION,Flower,$50.02,3.5g,20.75%,726.25mg,0.069/mg
Butler,16001,Garlic Grove ,Hybrid,MOXIE,Flower,$54.98,3.5g,19.33%,676.55mg,0.081/mg
Philadelphia - Chestnut St,17301,Apple Pie ,Sativa,MODERN FLOWER,Flower,$80.01,7.0g,16.97%,1187.90mg,0.067/mg
Pittsburgh,15112,Strawberry Cherry Gelato ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.06%,772.10mg,0.058/mg
Lancaster,17601,Director's Cut ,Hybrid,CRESCO,Flower,$45.01,3.5g,24.55%,859.25mg,0.052/mg
New Kensington,18833,Oregon Silver Haze ,Sativa,CRESCO,Flower,$45.01,3.5g,21.67%,758.45mg,0.059/mg
Butler,16001,Pineapple Kush ,Indica,FRX,Flower,$54.98,3.5g,21.71%,759.85mg,0.072/mg
Lancaster,17601,Chem Brulee ,Indica,FRX,Flower,$54.98,3.5g,28.07%,982.45mg,0.056/mg
Phoenixville,19460,Chem 91 ,Indica,FRX,Flower,$54.98,3.5g,22.00%,770.00mg,0.071/mg
New Kensington,18833,Banana Cream ,Indica,RYTHM,Flower,$54.98,3.5g,26.41%,924.35mg,0.059/mg
Philadelphia - Chestnut St,17301,Rocket Fuel  ,Hybrid,SUPPLY,Small,$80.01,7.0g,22.74%,1591.80mg,0.050/mg
Montgomeryville,18936,Director's Cut  ,Hybrid,SUPPLY,Small,$80.01,7.0g,25.14%,1759.80mg,0.045/mg
Montgomeryville,18936,Purple Passion  ,Hybrid,SUPPLY,Small,$80.01,7.0g,22.17%,1551.90mg,0.052/mg
Philadelphia - Chestnut St,17301,Purple Passion ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.43%,785.05mg,0.057/mg
Pittsburgh,15112,Sweat Helmet ,Hybrid,CURALEAF,Flower,$47.98,3.5g,19.20%,672.00mg,0.071/mg
Butler,16001,Tangilope  ,Sativa,SECHE,Flower,$55.02,7.0g,17.48%,1223.60mg,0.045/mg
Lancaster,17601,Brandywine  ,Indica,AGRI-KIND,Smalls,$59.99,7.0g,17.00%,1190.00mg,0.050/mg
New Kensington,18833,Pink 2.0 ,Indica,OLD PAL,Flower,$59.99,7.0g,19.20%,1344.00mg,0.045/mg
Ambler,19002,MacDaddy ,Sativa,CRESCO,Flower,$45.01,3.5g,27.66%,968.10mg,0.046/mg
Lancaster,17601,Jimi's Punch ,Sativa,CRESCO,Flower,$45.01,3.5g,25.23%,883.05mg,0.051/mg
Lancaster,17601,WC Watermelon Z ,Indica,CRESCO,Flower,$45.01,3.5g,25.02%,875.70mg,0.051/mg
Montgomeryville,18936,Chemex ,Sativa,CRESCO,Flower,$45.01,3.5g,29.75%,1041.25mg,0.043/mg
Phoenixville,19460,Remo Chemo  Grind ,Indica,SECHE,Fine Grind Flower,$39.97,7.0g,10.49%,734.30mg,0.054/mg
Montgomeryville,18936,Magic Johnson ,Sativa,GLEAF,Flower,$40.00,3.5g,25.16%,880.60mg,0.045/mg
Butler,16001,Lemon Stilton ,Hybrid,CRESCO,Flower,$45.01,3.5g,21.13%,739.55mg,0.061/mg
Butler,16001,Critical Purple Kush  ,Indica,SUPPLY,Small,$80.01,7.0g,17.99%,1259.30mg,0.064/mg
Lancaster,17601,Glazed Enigma ,Sativa,CRESCO,Flower,$30.00,3.5g,20.41%,714.35mg,0.042/mg
Philadelphia - Chestnut St,17301,Jimi's Punch  ,Sativa,SUPPLY,Small,$80.01,7.0g,22.72%,1590.40mg,0.050/mg
Montgomeryville,18936,707 Headband ,Indica,CRESCO,Flower,$45.01,3.5g,23.62%,826.70mg,0.054/mg
Montgomeryville,18936,Strawberry Amnesia ,Sativa,THE BANK,Flower,$39.97,3.5g,21.05%,736.75mg,0.054/mg
Montgomeryville,18936,Drops of Jupiter ,Hybrid,CURALEAF,Flower,$47.98,3.5g,22.96%,803.60mg,0.060/mg
Montgomeryville,18936,Garlic Storm  Bud,Hybrid,GLEAF,Small,$15.00,1.0g,23.72%,237.20mg,0.063/mg
Ambler,19002,Banana Macaroon ,Hybrid,CRESCO,Flower,$45.01,3.5g,23.62%,826.70mg,0.054/mg
New Kensington,18833,Remo Chemo  Grind ,Indica,SECHE,Fine Grind Flower,$39.97,7.0g,12.88%,901.60mg,0.044/mg
Phoenixville,19460,Strawberry Cherry Gelato ,Hybrid,CRESCO,Flower,$45.01,3.5g,25.51%,892.85mg,0.050/mg
Lancaster,17601,Sour Plums ,Hybrid,AGRI-KIND,Flower,$35.00,3.5g,17.58%,615.30mg,0.057/mg
Montgomeryville,18936,Jack Herer  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,19.64%,1374.80mg,0.062/mg
New Kensington,18833,Purple Passion ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.03%,771.05mg,0.058/mg
Phoenixville,19460,Mr. Nasty ,Hybrid,KYND,Flower,$50.02,3.5g,24.74%,865.90mg,0.058/mg
New Kensington,18833,The Menage  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,14.42%,1009.40mg,0.040/mg
Philadelphia - Chestnut St,17301,Oregon Silver Haze  ,Sativa,SUPPLY,Small,$80.01,7.0g,23.91%,1673.70mg,0.048/mg
Phoenixville,19460,Lime Bars  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,15.51%,1085.70mg,0.037/mg
Montgomeryville,18936,Spiked Mai Tai  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,19.74%,1381.80mg,0.029/mg
New Kensington,18833,Petrol Pine  ,Indica,SUPPLY,Small,$60.00,7.0g,21.76%,1523.20mg,0.039/mg
Montgomeryville,18936,Alien Napalm ,Indica,FRX,Flower,$54.98,3.5g,13.69%,479.15mg,0.115/mg
Pittsburgh,15112,Gello  Bud,Hybrid,GLEAF,Small,$70.00,7.0g,24.01%,1680.70mg,0.042/mg
New Kensington,18833,Mother's st  ,Sativa,SECHE,Flower,$54.95,7.0g,18.75%,1312.50mg,0.042/mg
Butler,16001,Sweat Helmet ,Hybrid,CURALEAF,Flower,$47.98,3.5g,19.20%,672.00mg,0.071/mg
Philadelphia - Chestnut St,17301,Bubblegum XL ,Sativa,THE BANK,Flower,$35.00,3.5g,17.33%,606.55mg,0.058/mg
Pittsburgh,15112,MacDaddy ,Sativa,CRESCO,Flower,$45.01,3.5g,27.90%,976.50mg,0.046/mg
Ambler,19002,Citrus Daydream  ,Sativa,SUPPLY,Small,$80.01,7.0g,23.29%,1630.30mg,0.049/mg
Phoenixville,19460,Tina ,Indica,CRESCO,Flower,$45.01,3.5g,24.65%,862.75mg,0.052/mg
New Kensington,18833,Caped Crusader ,Hybrid,CRESCO,Flower,$45.01,3.5g,26.84%,939.40mg,0.048/mg
Butler,16001,The Menage ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.98%,804.30mg,0.056/mg
Philadelphia - Chestnut St,17301,Spiked Mai Tai  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,19.74%,1381.80mg,0.029/mg
New Kensington,18833,Jimi's Punch ,Sativa,CRESCO,Flower,$45.01,3.5g,24.99%,874.65mg,0.051/mg
Pittsburgh,15112,Ice Cream Cake  ,Indica,GOOD GREEN,Small,$84.98,7.0g,20.21%,1414.70mg,0.060/mg
Phoenixville,19460,Oregon Silver Haze  ,Sativa,SUPPLY,Small,$79.94,7.0g,23.91%,1673.70mg,0.048/mg
Lancaster,17601,Watermelon Gelato #36 ,Indica,KYND,Flower,$50.02,3.5g,19.59%,685.65mg,0.073/mg
New Kensington,18833,MTF #2 ,Sativa,KYND,Flower,$50.02,3.5g,24.40%,854.00mg,0.059/mg
Montgomeryville,18936,Gelato #33 I95  ,Hybrid,SUPPLY,Small,$80.01,7.0g,19.86%,1390.20mg,0.058/mg
Ambler,19002,Bio Jesus  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,15.29%,1070.30mg,0.037/mg
New Kensington,18833,Bubba Diagonal ,Indica,GRASSROOTS,Flower,$47.98,3.5g,19.30%,675.50mg,0.071/mg
Butler,16001,Blueberry Muffin Float ,Indica,FLOAT,Flower,$49.98,3.5g,16.93%,592.55mg,0.084/mg
Philadelphia - Chestnut St,17301,Hazen Haze  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,13.99%,979.30mg,0.041/mg
Montgomeryville,18936,Sour Tangie ,Sativa,TERRAPIN,Flower,$31.99,3.5g,16.69%,584.15mg,0.055/mg
Lancaster,17601,Blue Haze ,Sativa,VERANO ESSENCE,Flower,$49.98,3.5g,24.69%,864.15mg,0.058/mg
Pittsburgh,15112,Cold as Ice  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,15.27%,1068.90mg,0.037/mg
Pittsburgh,15112,OG 18 ,Indica,CRESCO,Flower,$45.01,3.5g,19.66%,688.10mg,0.065/mg
Philadelphia - Chestnut St,17301,Gelato #33 I95  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,15.77%,1103.90mg,0.036/mg
Montgomeryville,18936,Mint Face Off  ,Indica,SUPPLY,Small,$60.00,7.0g,23.57%,1649.90mg,0.036/mg
Pittsburgh,15112,Casey Jones ,Sativa,MOXIE,Flower,$54.98,3.5g,20.16%,705.60mg,0.078/mg
New Kensington,18833,Outer Space ,Sativa,CRESCO,Flower,$45.01,3.5g,22.12%,774.20mg,0.058/mg
Philadelphia - Chestnut St,17301,Trainwreck Float ,Sativa,FLOAT,Flower,$50.02,3.5g,19.30%,675.50mg,0.074/mg
Lancaster,17601,Tina ,Indica,CRESCO,Flower,$45.01,3.5g,23.48%,821.80mg,0.055/mg
Philadelphia - Chestnut St,17301,Durban  ,Sativa,SUPPLY,Small,$80.01,7.0g,19.37%,1355.90mg,0.059/mg
Montgomeryville,18936,Lemon Meringue  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,22.30%,1561.00mg,0.054/mg
Montgomeryville,18936,Kosher Tangie ,Hybrid,CRESCO,Flower,$30.00,3.5g,20.07%,702.45mg,0.043/mg
Montgomeryville,18936,Banana Puddintain Sugar Leaf,Hybrid,GLEAF,Flower,$64.96,7.0g,25.15%,1760.50mg,0.037/mg
Phoenixville,19460,Gelato 41 x Bwizz ,Hybrid,INSA,Flower,$39.97,3.5g,21.28%,744.80mg,0.054/mg
Butler,16001,Tahiti Lime ,Hybrid,GRASSROOTS,Flower,$74.97,7.0g,18.64%,1304.80mg,0.057/mg
Lancaster,17601,Gelato #33 I95  ,Hybrid,SUPPLY,Small,$79.94,7.0g,18.56%,1299.20mg,0.062/mg
Pittsburgh,15112,Power Plant ,Sativa,STANDARD FARMS,Flower,$25.00,3.5g,21.91%,766.85mg,0.033/mg
Pittsburgh,15112,Sundae Driver ,Indica,R.O.,Flower,$35.00,3.5g,19.00%,665.00mg,0.053/mg
Ambler,19002,Yellow Brick Road ,Hybrid,AVENUE,Flower,$44.98,3.5g,22.40%,784.00mg,0.057/mg
Ambler,19002,OG 18  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,12.41%,868.70mg,0.046/mg
Philadelphia - Chestnut St,17301,Shandy Kush ,Sativa,CLASSIX,Flower,$70.00,7.0g,24.32%,1702.40mg,0.041/mg
Butler,16001,White Fire 43 Mini ,Hybrid,MOXIE,Flower,$45.01,3.5g,15.86%,555.10mg,0.081/mg
Phoenixville,19460,Tahiti Lime  ,Hybrid,GRASSROOTS,Small,$74.97,7.0g,18.64%,1304.80mg,0.057/mg
Philadelphia - Chestnut St,17301,Cold as Ice  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,14.70%,1029.00mg,0.039/mg
Butler,16001,OG 18 ,Indica,CRESCO,Flower,$45.01,3.5g,21.21%,742.35mg,0.061/mg
Pittsburgh,15112,The Menage  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,14.42%,1009.40mg,0.040/mg
Phoenixville,19460,Yuck Mouth ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,22.84%,799.40mg,0.060/mg
Ambler,19002,Banana OG ,Indica,CRESCO,Flower,$30.00,3.5g,21.62%,756.70mg,0.040/mg
Montgomeryville,18936,Trainwreck Float ,Sativa,FLOAT,Flower,$50.02,3.5g,19.30%,675.50mg,0.074/mg
New Kensington,18833,Unknown Legend ,Indica,TRUFLOWER,Flower,$35.00,3.5g,21.65%,757.75mg,0.046/mg
Pittsburgh,15112,Golden Goose ,Indica,CRESCO,Flower,$45.01,3.5g,21.12%,739.20mg,0.061/mg
New Kensington,18833,OKC  ,Hybrid,KIND TREE,Small,$64.96,7.0g,12.28%,859.60mg,0.076/mg
Pittsburgh,15112,Critical Purple Kush  ,Indica,SUPPLY,Small,$80.01,7.0g,17.99%,1259.30mg,0.064/mg
Montgomeryville,18936,Chem Brulee ,Indica,FRX,Flower,$54.98,3.5g,28.07%,982.45mg,0.056/mg
Lancaster,17601,Chemex ,Sativa,CRESCO,Flower,$45.01,3.5g,29.75%,1041.25mg,0.043/mg
Butler,16001,Lemon Meringue  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,16.93%,1185.10mg,0.072/mg
Philadelphia - Chestnut St,17301,Outer Space  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,13.15%,920.50mg,0.043/mg
Lancaster,17601,Purple Passion  ,Hybrid,SUPPLY,Small,$79.94,7.0g,22.17%,1551.90mg,0.052/mg
Butler,16001,Purple Passion ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.03%,771.05mg,0.058/mg
Phoenixville,19460,Ice Cream Cake & Shine   ,Indica,& SHINE,Lightly Ground Trim,$49.98,7.0g,16.33%,1143.10mg,0.044/mg
New Kensington,18833,White Truffle ,Indica,FRX,Flower,$54.98,3.5g,23.52%,823.20mg,0.067/mg
Ambler,19002,Lime Bars  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,15.51%,1085.70mg,0.037/mg
Ambler,19002,Mint Face Off  ,Indica,SUPPLY,Small,$80.01,7.0g,23.57%,1649.90mg,0.048/mg
Phoenixville,19460,OG 18  ,Indica,SUPPLY,Small,$79.94,7.0g,19.01%,1330.70mg,0.060/mg
Lancaster,17601,Gush Mints ,Hybrid,GLEAF,Flower,$49.98,3.5g,27.05%,946.75mg,0.053/mg
Butler,16001,Jet Fuel ,Sativa,RYTHM,Flower,$54.98,3.5g,23.78%,832.30mg,0.066/mg
Philadelphia - Chestnut St,17301,Strawberry Cherry Gelato ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.06%,772.10mg,0.058/mg
Butler,16001,Summer Ale Mini ,Hybrid,MOXIE,Flower,$45.01,3.5g,19.74%,690.90mg,0.065/mg
Phoenixville,19460,Outer Space ,Sativa,CRESCO,Flower,$45.01,3.5g,21.09%,738.15mg,0.061/mg
Butler,16001,Golden Goose  ,Indica,SUPPLY,Small,$80.01,7.0g,18.61%,1302.70mg,0.061/mg
Montgomeryville,18936,Classic Red Sangria ,Sativa,LOST IN TRANSLATION,Flower,$50.02,3.5g,18.07%,632.45mg,0.079/mg
Philadelphia - Chestnut St,17301,Chemex ,Sativa,CRESCO,Flower,$45.01,3.5g,29.75%,1041.25mg,0.043/mg
Ambler,19002,Sweat Helmet ,Hybrid,CURALEAF,Flower,$47.98,3.5g,19.20%,672.00mg,0.071/mg
Phoenixville,19460,Tangarang ,Hybrid,KYND,Flower,$49.98,3.5g,25.54%,893.90mg,0.056/mg
Ambler,19002,Chemex ,Sativa,CRESCO,Flower,$45.01,3.5g,26.27%,919.45mg,0.049/mg
New Kensington,18833,Citrus Daydream ,Sativa,CRESCO,Flower,$30.00,3.5g,22.97%,803.95mg,0.037/mg
Montgomeryville,18936,Honey Badger Haze ,Sativa,MODERN FLOWER,Flower,$44.98,3.5g,20.35%,712.25mg,0.063/mg
Ambler,19002,Sweet Cheese  ,Sativa,AGRI-KIND,Smalls,$59.99,7.0g,16.30%,1141.00mg,0.053/mg
Philadelphia - Chestnut St,17301,The Menage ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.98%,804.30mg,0.056/mg
Lancaster,17601,Durban #5  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,21.25%,1487.50mg,0.057/mg
Lancaster,17601,Fruit Pie ,Indica,CALYPSO,Flower,$44.98,3.5g,23.35%,817.25mg,0.055/mg
Lancaster,17601,Drops of Jupiter ,Hybrid,CURALEAF,Flower,$47.98,3.5g,22.96%,803.60mg,0.060/mg
New Kensington,18833,Blueberry Muffin Float ,Indica,FLOAT,Flower,$49.98,3.5g,18.65%,652.75mg,0.077/mg
Ambler,19002,Apple Pie ,Sativa,MODERN FLOWER,Flower,$45.01,3.5g,14.71%,514.85mg,0.087/mg
Ambler,19002,Super Skunk ,Indica,AGRI-KIND,Flower,$44.98,3.5g,20.18%,706.30mg,0.064/mg
Philadelphia - Chestnut St,17301,Rocket Fuel ,Hybrid,CRESCO,Flower,$45.01,3.5g,21.08%,737.80mg,0.061/mg
Phoenixville,19460,Sugar Plum Sunset  ,Indica,SUPPLY,Small,$79.94,7.0g,22.91%,1603.70mg,0.050/mg
Philadelphia - Chestnut St,17301,OG 18  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,12.41%,868.70mg,0.046/mg
Lancaster,17601,Lime Bars  ,Indica,SUPPLY,Small,$79.94,7.0g,22.38%,1566.60mg,0.051/mg
Philadelphia - Chestnut St,17301,Outer Space ,Sativa,CRESCO,Flower,$45.01,3.5g,22.20%,777.00mg,0.058/mg
Pittsburgh,15112,Oregon Silver Haze  ,Sativa,SUPPLY,Small,$80.01,7.0g,23.91%,1673.70mg,0.048/mg
Pittsburgh,15112,Purple Passion  ,Hybrid,SUPPLY,Small,$80.01,7.0g,22.17%,1551.90mg,0.052/mg
Pittsburgh,15112,Banana OG  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,16.89%,1182.30mg,0.034/mg
Montgomeryville,18936,Blueberry Spacecake  ,Indica,SUPPLY,Ground Flower,$45.01,7.0g,12.32%,862.40mg,0.052/mg
New Kensington,18833,Gelato #41 x Dosido ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,19.16%,670.60mg,0.072/mg
Phoenixville,19460,Kush Cream #13 ,Indica,KYND,Flower,$49.98,3.5g,22.99%,804.65mg,0.062/mg
Lancaster,17601,Runtz ,Hybrid,FRX,Flower,$54.98,3.5g,18.71%,654.85mg,0.084/mg
Montgomeryville,18936,Gelato #33 I95 ,Hybrid,CRESCO,Flower,$30.00,3.5g,23.33%,816.55mg,0.037/mg
Philadelphia - Chestnut St,17301,Strawberry Kush  ,Sativa,AGRI-KIND,Smalls,$59.99,7.0g,13.27%,928.90mg,0.065/mg
Ambler,19002,WC Watermelon Z  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,21.11%,1477.70mg,0.027/mg
Philadelphia - Chestnut St,17301,Cool Grapes #66 ,Hybrid,GRASSROOTS,Flower,$84.98,7.0g,20.07%,1404.90mg,0.060/mg
Montgomeryville,18936,Gluelato Float ,Hybrid,FLOAT,Flower,$49.98,3.5g,25.09%,878.15mg,0.057/mg
Ambler,19002,Oregon Silver Haze ,Sativa,CRESCO,Flower,$45.01,3.5g,21.67%,758.45mg,0.059/mg
Pittsburgh,15112,Petrol Pine ,Indica,CRESCO,Flower,$45.01,3.5g,26.37%,922.95mg,0.049/mg
Philadelphia - Chestnut St,17301,Peach Hashplant ,Sativa,FRX,Flower,$54.98,3.5g,21.56%,754.60mg,0.073/mg
Butler,16001,Banana Cream ,Indica,RYTHM,Flower,$54.98,3.5g,26.41%,924.35mg,0.059/mg
Ambler,19002,Django  Bud,Indica,GLEAF,Small,$70.00,7.0g,19.59%,1371.30mg,0.051/mg
Butler,16001,Moonshine Haze ,Sativa,TERRAPIN,Flower,$37.00,3.5g,14.45%,505.75mg,0.073/mg
Pittsburgh,15112,Yellow Brick Road  ,Hybrid,AVENUE,Smalls,$80.01,7.0g,17.63%,1234.10mg,0.065/mg
Pittsburgh,15112,Jimi's Punch ,Sativa,CRESCO,Flower,$45.01,3.5g,24.99%,874.65mg,0.051/mg
Philadelphia - Chestnut St,17301,GG #4 Mini ,Indica,FRX,Flower,$49.98,3.5g,24.53%,858.55mg,0.058/mg
Philadelphia - Chestnut St,17301,Hot Stuff  ,Indica,SUPPLY,Small,$80.01,7.0g,25.45%,1781.50mg,0.045/mg
Butler,16001,Mint Face Off  ,Indica,SUPPLY,Small,$80.01,7.0g,22.86%,1600.20mg,0.050/mg
Pittsburgh,15112,Brandywine  ,Indica,AGRI-KIND,Smalls,$59.99,7.0g,17.00%,1190.00mg,0.050/mg
Butler,16001,Bruce Banner ,Hybrid,OLD PAL,Flower,$59.99,7.0g,21.99%,1539.30mg,0.039/mg
Pittsburgh,15112,Mint Face Off  ,Indica,SUPPLY,Small,$80.01,7.0g,22.86%,1600.20mg,0.050/mg
Lancaster,17601,Drops of Jupiter ,Hybrid,CURALEAF,Flower,$71.96,7.0g,26.31%,1841.70mg,0.039/mg
Ambler,19002,Glazed Enigma ,Sativa,CRESCO,Flower,$30.00,3.5g,22.25%,778.75mg,0.039/mg
New Kensington,18833,Durban #5  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,21.25%,1487.50mg,0.057/mg
Montgomeryville,18936,The Menage  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,14.42%,1009.40mg,0.040/mg
Lancaster,17601,Spiked Mai Tai  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,19.74%,1381.80mg,0.029/mg
Butler,16001,Chem Brulee ,Indica,FRX,Flower,$54.98,3.5g,28.07%,982.45mg,0.056/mg
Phoenixville,19460,Cool Grapes #65 ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,20.11%,703.85mg,0.068/mg
Philadelphia - Chestnut St,17301,Cold as Ice ,Sativa,CRESCO,Flower,$45.01,3.5g,29.78%,1042.30mg,0.043/mg
Philadelphia - Chestnut St,17301,Sugar Plum Sunset  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,12.49%,874.30mg,0.046/mg
Pittsburgh,15112,Sunset Shortcake  ,Hybrid,GRASSROOTS,Small,$74.97,7.0g,21.25%,1487.50mg,0.050/mg
New Kensington,18833,Classic Red Sangria  ,Sativa,LOST IN TRANSLATION,Small,$80.01,7.0g,21.54%,1507.80mg,0.053/mg
Phoenixville,19460,OG 18  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,11.82%,827.40mg,0.048/mg
Lancaster,17601,Blueberry Muffin Float ,Indica,FLOAT,Flower,$49.98,3.5g,19.99%,699.65mg,0.071/mg
Philadelphia - Chestnut St,17301,Sweat Helmet ,Hybrid,CURALEAF,Flower,$47.98,3.5g,19.20%,672.00mg,0.071/mg
Butler,16001,Banana OG  ,Indica,SUPPLY,Small,$80.01,7.0g,23.65%,1655.50mg,0.048/mg
Lancaster,17601,Classic Red Sangria ,Sativa,LOST IN TRANSLATION,Flower,$49.98,3.5g,18.07%,632.45mg,0.079/mg
Montgomeryville,18936,Lemon Dog Cookies ,Hybrid,AGRI-KIND,Flower,$35.00,3.5g,16.61%,581.35mg,0.060/mg
Phoenixville,19460,Peach Hashplant ,Sativa,FRX,Flower,$54.98,3.5g,21.56%,754.60mg,0.073/mg
Pittsburgh,15112,Mint Face Off  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,13.55%,948.50mg,0.042/mg
Butler,16001,Director's Cut ,Hybrid,CRESCO,Flower,$45.01,3.5g,23.17%,810.95mg,0.056/mg
Phoenixville,19460,Lemon Meringue ,Sativa,RYTHM,Flower,$54.98,3.5g,16.93%,592.55mg,0.093/mg
New Kensington,18833,Tahoe OG ,Hybrid,CALYPSO,Flower,$44.98,3.5g,20.03%,701.05mg,0.064/mg
Lancaster,17601,Animal Mints #10 ,Indica,RYTHM,Flower,$54.98,3.5g,21.97%,768.95mg,0.072/mg
Ambler,19002,Wharf Rat ,Hybrid,CLASSIX,Flower,$40.00,3.5g,24.51%,857.85mg,0.047/mg
Pittsburgh,15112,Purple Z  7g,Indica,ORGANIC REMEDIES,Flower,$60.00,7.0g,17.75%,1242.50mg,0.048/mg
Pittsburgh,15112,Classic Red Sangria ,Sativa,LOST IN TRANSLATION,Flower,$50.02,3.5g,18.07%,632.45mg,0.079/mg
New Kensington,18833,Cold as Ice  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,14.70%,1029.00mg,0.039/mg
Butler,16001,London PC ,Indica,INSA,Flower,$39.97,3.5g,17.86%,625.10mg,0.064/mg
Phoenixville,19460,Banana OG  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,17.18%,1202.60mg,0.033/mg
Montgomeryville,18936,Apple Pie ,Sativa,MODERN FLOWER,Flower,$44.98,3.5g,14.71%,514.85mg,0.087/mg
New Kensington,18833,The Menage ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.98%,804.30mg,0.056/mg
Pittsburgh,15112,Bubble Bath ,Hybrid,GLEAF,Flower,$40.00,3.5g,19.88%,695.80mg,0.057/mg
Ambler,19002,Spiked Mai Tai  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,19.74%,1381.80mg,0.029/mg
Phoenixville,19460,Point Break ,Indica,GLEAF,Flower,$39.97,3.5g,21.90%,766.50mg,0.052/mg
Lancaster,17601,Mr. Nasty ,Hybrid,KYND,Flower,$50.02,3.5g,24.74%,865.90mg,0.058/mg
Montgomeryville,18936,Tina ,Indica,CRESCO,Flower,$45.01,3.5g,26.84%,939.40mg,0.048/mg
Pittsburgh,15112,Runtz ,Hybrid,FRX,Flower,$54.98,3.5g,18.71%,654.85mg,0.084/mg
Phoenixville,19460,Tahoe OG ,Hybrid,CALYPSO,Flower,$44.98,3.5g,20.03%,701.05mg,0.064/mg
Philadelphia - Chestnut St,17301,Tahoe OG  ,Hybrid,CALYPSO,Ground Flower,$49.98,7.0g,21.52%,1506.40mg,0.033/mg
Ambler,19002,Jimi's Punch  ,Sativa,SUPPLY,Small,$80.01,7.0g,22.54%,1577.80mg,0.051/mg
Ambler,19002,Gelato #33 I95  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,15.77%,1103.90mg,0.036/mg
Ambler,19002,OG 18 ,Indica,CRESCO,Flower,$45.01,3.5g,19.66%,688.10mg,0.065/mg
Butler,16001,Honey Mini ,Hybrid,FRX,Flower,$49.98,3.5g,16.46%,576.10mg,0.087/mg
Ambler,19002,Ak-47 ,Sativa,REVEL,Flower,$39.97,3.5g,22.79%,797.65mg,0.050/mg
Phoenixville,19460,Dough Lato ,Hybrid,INSA,Flower,$39.97,3.5g,20.83%,729.05mg,0.055/mg
Montgomeryville,18936,White Truffle ,Indica,FRX,Flower,$54.98,3.5g,23.52%,823.20mg,0.067/mg
Lancaster,17601,Oregon Silver Haze  ,Sativa,SUPPLY,Small,$79.94,7.0g,23.91%,1673.70mg,0.048/mg
Philadelphia - Chestnut St,17301,Yellow Brick Road  ,Hybrid,AVENUE,Smalls,$79.94,7.0g,17.63%,1234.10mg,0.065/mg
